"avg_price","category_nodes","yt_followers","sales_count","@timestamp","ig_followers","rank_num","sales_total","rank_date","sales_inc","tw_followers","fb_followers","pin_followers","tt_followers","category_id","last_rank_num","country_code","products_total","shop_id","ads_7_count","shop_domain","ads_30_count"
"24.67","[]","0","3121","2022-11-04T15:05:00.830Z","0","291","6457","2022-10-31","1339","0","0","0","0","0","247","GB","284","6938681","0","greenlotuscbd.co.uk","0"
"34.05","[11828,11765,11064]","0","1333","2022-11-04T15:05:00.795Z","0","292","1630","2022-10-31","1333","0","0","0","0","0","0","US","105","6809144","0","affordablehomegifts.com","0"
"200.71","[]","0","1318","2022-11-04T15:05:02.445Z","0","293","1370","2022-10-31","1318","0","0","0","0","0","0","BR","26","7377989","0","lojagosteicomprei.com","0"
"18.48","[]","0","1958","2022-11-04T15:05:01.281Z","0","294","5688","2022-10-31","1317","0","0","0","0","0","711","US","63","6832281","0","followingfathersfarm.com","0"
"71504.84","[]","0","1905","2022-11-04T15:04:59.558Z","0","295","2626","2022-10-31","1311","0","0","0","0","0","752","CO","62","7144306","0","www.storecol.shop","0"
"35.96","[11828,11765,11064]","0","1306","2022-11-04T15:05:02.445Z","0","296","1645","2022-10-31","1306","0","0","0","0","0","0","US","105","6820705","0","comfyhomevibes.com","0"
"58.34","[]","0","1350","2022-11-04T15:05:02.913Z","0","297","1585","2022-10-31","1300","0","0","0","0","0","0","GB","77","7114731","0","ukshoponline.co.uk","0"
"906.43","[]","0","1311","2022-11-04T15:05:01.895Z","0","298","1455","2022-10-31","1293","0","0","0","0","0","0","PK","7","7328154","0","jannatkpattay.com","0"
"27.25","[]","0","3036","2022-11-04T15:05:00.830Z","926","299","11430","2022-10-31","1291","0","0","0","0","0","256","FR","242","6840437","0","sockwell.fr","0"
"151.15","[]","0","1392","2022-11-04T15:05:00.812Z","0","300","3220","2022-10-31","1290","0","0","0","0","0","0","US","1043","7237391","0","www.knzkw.com","0"
"43.69","[]","0","2704","2022-11-04T15:05:01.880Z","0","301","5107","2022-10-31","1287","0","0","0","0","0","334","US","231","6794530","0","bravehazel.com","0"
"44.43","[]","0","1286","2022-11-04T15:05:02.912Z","0","302","1736","2022-10-31","1286","0","0","0","0","0","0","US","87","7581926","0","livingstyle.fashion","0"
"1054.19","[]","0","1726","2022-11-04T15:05:01.370Z","12036","303","2290","2022-10-31","1284","0","0","0","0","0","967","IN","27","7101430","1","thebeyondstore.in","2"
"31.04","[11828,11765,11064]","0","1279","2022-11-04T15:04:59.282Z","0","304","1583","2022-10-31","1279","0","0","0","0","0","0","US","104","7368244","0","cowicks.ca","0"
"109.94","[]","0","1278","2022-11-04T15:05:02.913Z","0","305","2051","2022-10-31","1278","0","0","0","0","0","0","AU","328","7145824","0","mynookie.com.au","0"
"62.87","[]","0","1277","2022-11-04T15:05:01.880Z","0","306","2568","2022-10-31","1277","0","0","0","0","0","0","US","269","7710181","0","www.snazzygirlsfashion.com","0"
"33.83","[]","0","1277","2022-11-04T15:04:59.341Z","0","307","3157","2022-10-31","1277","0","0","0","0","0","0","US","210","7596402","0","www.luvnunu.com","0"
"1526.87","[]","0","1272","2022-11-04T15:05:02.471Z","0","308","1414","2022-10-31","1272","0","0","0","0","0","0","JP","69","7362741","0","shop.aoyagiuirou.co.jp","0"
"26.47","[]","0","1771","2022-11-04T15:05:01.371Z","0","309","2713","2022-10-31","1267","0","0","0","0","0","871","US","197","6805931","0","label521.com","0"
"53.88","[]","0","1374","2022-11-04T15:05:02.441Z","0","310","2211","2022-10-31","1259","0","0","0","0","0","0","ES","427","7252966","0","ropamoda03.com","0"
"35.96","[11828,11765,11064]","0","1256","2022-11-04T15:04:59.558Z","0","311","1570","2022-10-31","1256","0","0","0","0","0","0","US","105","6931544","0","homefamilyplusdecor.com","0"
"296.19","[]","0","1255","2022-11-04T15:04:59.961Z","0","312","2450","2022-10-31","1255","0","0","0","0","0","0","DK","360","7383244","0","veromodastroeget.dk","0"
"80.84","[]","0","1289","2022-11-04T15:05:00.204Z","35300","313","2733","2022-10-31","1252","0","0","0","0","0","0","BH","526","6892933","0","bh.wardrobefashion.com","5"
"279.76","[]","0","1338","2022-11-04T15:05:00.813Z","0","314","313355","2022-10-31","1250","0","0","0","0","0","0","FR","357","7119288","0","graalspotter.com","0"
"46.09","[13705,13706,13936]","0","1245","2022-11-04T15:05:00.756Z","2501","315","1976","2022-10-31","1245","0","0","0","0","0","0","BE","256","7315302","0","berghoff-belgium.be","0"
"35.62","[]","0","2019","2022-11-04T15:05:01.369Z","46716","316","6338","2022-10-31","1232","0","0","0","0","0","608","AU","940","6826176","0","youandallfashion.com","2"
"33.55","[]","0","1231","2022-11-04T15:05:00.812Z","0","317","1268","2022-10-31","1231","0","0","0","0","0","0","US","5","7424184","0","www.noseslap.com","0"
"32.15","[]","0","1227","2022-11-04T15:05:02.986Z","0","318","2027","2022-10-31","1227","0","0","0","0","0","0","US","235","7694458","0","www.coltandco.shop","0"
"87.73","[]","0","1223","2022-11-04T15:05:01.281Z","0","319","1580","2022-10-31","1223","0","0","0","0","0","0","NL","58","7680853","0","nexsmart.nl","0"
"60.57","[]","0","1292","2022-11-04T15:05:01.860Z","0","320","2454","2022-10-31","1222","0","0","0","0","0","0","US","210","7308120","0","orroninks.com","0"
"75.3","[]","0","2373","2022-11-04T15:05:01.880Z","4206","321","4083","2022-10-31","1218","0","0","0","0","0","401","US","179","6924163","0","myhdiet.com","1"
"465.67","[]","0","1266","2022-11-04T15:04:59.559Z","0","322","1333","2022-10-31","1217","0","0","0","0","0","0","IN","6","7320514","0","www.getexposed.in","0"
"26.78","[]","0","1216","2022-11-04T15:05:01.879Z","0","323","1285","2022-10-31","1216","0","0","0","0","0","0","US","42","7356155","0","chaffeelife.com","0"
"34.57","[11828,11765,11064]","0","1209","2022-11-04T15:05:01.332Z","0","324","1501","2022-10-31","1209","0","0","0","0","0","0","US","114","7371587","0","lauranceinchomedecore.com","0"
"22.84","[]","0","1246","2022-11-04T15:05:02.967Z","4145","325","8808","2022-10-31","1206","0","0","0","0","0","0","OM","334","6983286","6","decathlon.com.om","6"
"45.44","[]","0","1206","2022-11-04T15:04:59.282Z","0","326","2206","2022-10-31","1206","0","0","0","0","0","0","US","214","7384213","0","www.ohlalaluxury.com","0"
"780.39","[]","0","1201","2022-11-04T15:05:00.206Z","0","327","1673","2022-10-31","1201","0","0","0","0","0","0","IN","231","7487447","0","supermartco.com","0"
"9.41","[]","0","1196","2022-11-04T15:05:02.442Z","0","328","1832","2022-10-31","1196","0","0","0","0","0","0","FR","254","7373019","0","boutique.l214.com","0"
"23.74","[]","0","1569","2022-11-04T15:05:01.898Z","0","329","2046","2022-10-31","1193","0","0","0","0","0","0","US","16","7220779","0","www.50ampproductions.com","0"
"143.19","[]","0","1184","2022-11-04T15:05:02.439Z","61437","330","2197","2022-10-31","1184","0","0","0","0","0","0","US","252","7778916","0","raceseng.com","0"
"9.43","[15912,1856,14564]","0","1309","2022-11-04T15:05:02.441Z","0","331","1483","2022-10-31","1181","0","0","0","0","0","0","NZ","18","7155381","0","vex.co.nz","0"
"31.04","[11828,11765,11064]","0","1178","2022-11-04T15:05:01.899Z","0","332","1482","2022-10-31","1178","0","0","0","0","0","0","US","104","7369437","0","www.hafendo.com","0"
"55.67","[]","0","1300","2022-11-04T15:05:01.898Z","0","333","2609","2022-10-31","1175","0","0","0","0","0","0","US","246","7217146","0","baranow.co","0"
"45.03","[]","0","1253","2022-11-04T15:05:01.372Z","0","334","1875","2022-10-31","1175","0","0","0","0","0","0","US","413","7294331","0","allfamilyshop.com","0"
"901.71","[]","0","1174","2022-11-04T15:05:02.442Z","0","335","9519","2022-10-31","1174","0","0","0","0","0","0","SE","266","7560141","0","kuoma.se","0"
"5.38","[]","0","2123","2022-11-04T15:04:59.157Z","0","336","3652","2022-10-31","1173","0","0","0","0","0","513","BR","160","6921716","0","www.cheirodehorta.com.br","0"
"35.96","[11828,11765,11064]","0","1173","2022-11-04T15:04:59.558Z","0","337","1491","2022-10-31","1173","0","0","0","0","0","0","US","105","6970172","0","www.buyingonlinenow.com","0"
"28.28","[]","0","1301","2022-11-04T15:05:00.831Z","0","338","13189","2022-10-31","1171","0","0","0","0","0","0","US","350","7195071","0","faneeshalingerie.com","0"
"25.1","[]","0","1170","2022-11-04T15:04:59.556Z","0","339","1187","2022-10-31","1170","0","0","0","0","0","0","US","24","7452834","0","reskine.com","0"
"38.41","[]","0","1319","2022-11-04T15:05:02.986Z","0","340","2846","2022-10-31","1168","0","0","0","0","0","0","US","164","7204463","0","www.sheisqueenboutique.com","0"
"31.43","[]","0","1359","2022-11-04T15:04:59.341Z","0","341","10173","2022-10-31","1164","0","0","0","0","0","0","GR","570","6847666","0","jackjonesathens.com","0"
"6092.22","[]","0","1156","2022-11-04T15:04:59.558Z","0","342","4378","2022-10-31","1156","0","0","0","0","0","0","RS","464","7072648","0","www.uspoloassn.rs","0"
"20.08","[]","0","1153","2022-11-04T15:05:01.373Z","0","343","1526","2022-10-31","1153","0","0","0","0","0","0","CH","165","7426964","0","deluxe-tee.ch","0"
"3448.75","[]","0","1147","2022-11-04T15:05:02.910Z","0","344","1302","2022-10-31","1147","0","0","0","0","0","0","IN","73","7637912","0","toysmystory.com","0"
"34.05","[11064,11765,11828]","0","1145","2022-11-04T15:04:59.556Z","0","345","1446","2022-10-31","1145","0","0","0","0","0","0","US","105","6807462","0","homedecore.net","0"
"1658.93","[]","0","1196","2022-11-04T15:04:59.158Z","0","346","3114","2022-10-31","1144","0","0","0","0","0","0","TH","826","7262007","0","urbanrevivo.in.th","0"
"49.15","[]","0","1144","2022-11-04T15:05:00.754Z","0","347","2566","2022-10-31","1144","0","0","0","0","0","0","US","236","7694673","0","sharkiyi.com","0"
"43.66","[]","0","1143","2022-11-04T15:04:59.962Z","0","348","1630","2022-10-31","1143","0","0","0","0","0","0","PE","184","7601727","0","lacasadelpintor.pe","0"
"605","[]","0","1143","2022-11-04T15:05:01.373Z","0","349","1628","2022-10-31","1143","0","0","0","0","0","0","IN","241","7631841","0","fuel2fash.com","0"
"43.08","[]","0","1136","2022-11-04T15:05:01.369Z","0","350","2224","2022-10-31","1136","0","0","0","0","0","0","US","255","7817167","0","barefootbluejeansboutique.com","0"
"26.33","[]","0","1136","2022-11-04T15:04:59.282Z","0","351","1252","2022-10-31","1136","0","0","0","0","0","0","MX","49","7444808","0","verychoco.com","0"
"23.11","[]","0","1132","2022-11-04T15:05:02.986Z","0","352","5202","2022-10-31","1125","0","0","0","0","0","0","US","102","7205450","0","www.ourtidyhome.com","0"
"40.02","[]","0","1121","2022-11-04T15:05:01.368Z","0","353","1812","2022-10-31","1121","0","0","0","0","0","0","US","116","7686095","0","theboyfriendcollection.com","0"
"159","[]","0","1120","2022-11-04T15:05:01.897Z","0","354","1227","2022-10-31","1120","0","0","0","0","0","0","BG","30","7055841","0","www.soliung.shop","0"
"187.87","[]","0","2261","2022-11-04T15:05:00.795Z","0","355","4466","2022-10-31","1119","0","0","0","0","0","410","US","252","6820133","0","dmm-motorsports.com","0"
"20.88","[]","0","1204","2022-11-04T15:05:00.206Z","13150","356","1397","2022-10-31","1115","0","0","0","0","0","0","US","41","7287693","2","5hourenergy.com","5"
"54.96","[]","0","1113","2022-11-04T15:04:59.962Z","0","357","2224","2022-10-31","1113","0","0","0","0","0","0","US","214","7551496","0","www.makeover-shop.com","0"
"90.07","[]","0","1502","2022-11-04T15:05:02.445Z","0","358","2832","2022-10-31","1112","0","0","0","0","0","0","LT","115","6783023","0","vilduja.lt","0"
"6.64","[]","0","1111","2022-11-04T15:04:59.962Z","0","359","1479","2022-10-31","1111","0","0","0","0","0","0","US","66","7567660","0","nailbitz.com","0"
"31928.76","[]","0","1676","2022-11-04T15:05:01.373Z","0","360","2837","2022-10-31","1110","0","0","0","0","0","779","IN","49","7100985","0","soundscape.store","4"
