"avg_price","category_nodes","yt_followers","sales_count","@timestamp","ig_followers","rank_num","sales_total","rank_date","sales_inc","tw_followers","fb_followers","pin_followers","tt_followers","category_id","last_rank_num","country_code","products_total","shop_id","ads_7_count","shop_domain","ads_30_count"
"65.43","[]","0","735","2022-11-04T15:04:55.923Z","1044","673","1374","2022-10-31","735","0","0","0","0","0","0","DE","307","7723634","0","www.trendsgetter.de","0"
"21.84","[]","0","734","2022-11-04T15:04:58.438Z","0","674","749","2022-10-31","734","0","0","0","0","0","0","ES","7","7383356","0","masofertas.es","0"
"47.36","[]","0","728","2022-11-04T15:04:55.217Z","0","675","1904","2022-10-31","595","0","0","0","0","0","0","US","140","7112582","0","en.yorstruly.com","0"
"60.07","[]","0","728","2022-11-04T15:04:55.920Z","0","676","1315","2022-10-31","461","0","0","0","0","0","0","NL","265","7062593","0","albertuswijnen.nl","0"
"64.21","[]","0","727","2022-11-04T15:04:55.537Z","0","677","2924","2022-10-31","312","0","0","0","0","0","0","US","233","6944398","0","www.findyourmark.store","0"
"36.71","[]","0","726","2022-11-04T15:04:56.503Z","0","678","973","2022-10-31","523","0","0","0","0","0","0","US","11","7111175","0","theshoedoc.com","0"
"31.11","[11765,11828,11064]","0","726","2022-11-04T15:04:55.339Z","0","679","952","2022-10-31","726","0","0","0","0","0","0","US","105","7723336","0","wyndhamcreek.com","0"
"44.08","[]","0","725","2022-11-04T15:04:57.888Z","0","680","2017","2022-10-31","645","0","0","0","0","0","0","FR","238","7055054","0","rosabaya.fr","0"
"11.15","[]","0","725","2022-11-04T15:04:58.125Z","0","681","1468","2022-10-31","174","0","0","0","0","0","0","US","39","6927801","0","soulhealthbeauty.com","0"
"38.63","[]","0","725","2022-11-04T15:04:55.732Z","0","682","1385","2022-10-31","725","0","0","0","0","0","0","US","175","7679577","0","fashionbywad.com","0"
"84.34","[]","0","725","2022-11-04T15:04:58.439Z","0","683","753","2022-10-31","725","0","0","0","0","0","0","PE","31","7592089","0","www.versebienpe.com","0"
"42797.02","[]","0","723","2022-11-04T15:04:57.370Z","68433","684","2121","2022-10-31","417","0","0","0","0","0","0","CL","57","6937597","0","www.amatistashoes.cl","12"
"71188.28","[]","0","723","2022-11-04T15:04:56.492Z","0","685","1077","2022-10-31","723","0","0","0","0","0","0","CO","226","7338821","0","diverpool.com.co","0"
"7030.98","[]","0","722","2022-11-04T15:04:59.001Z","0","686","892","2022-10-31","722","0","0","0","0","0","0","CL","92","7683050","0","vidasanaconamor.cl","0"
"8756.46","[]","0","721","2022-11-04T15:04:58.655Z","0","687","897","2022-10-31","721","0","0","0","0","0","0","JP","69","7312718","0","maguroittaku.com","0"
"25.3","[11064]","0","720","2022-11-04T15:04:58.719Z","6455","688","1517","2022-10-31","428","0","0","0","0","0","0","US","119","7056680","0","hallandperry.com","1"
"198.97","[]","0","719","2022-11-04T15:04:55.377Z","0","689","2322","2022-10-31","719","0","0","0","0","0","0","LV","254","7820846","0","aklogistiks.com","0"
"7643.85","[]","0","719","2022-11-04T15:04:58.947Z","950","690","937","2022-10-31","623","0","0","0","0","0","0","JP","13","7225343","5","vrtxsports.co.jp","27"
"25.39","[]","0","717","2022-11-04T15:04:57.622Z","5825","691","2833","2022-10-31","471","0","0","0","0","0","0","BE","133","7023867","0","winniespicks.de","0"
"45.27","[11828,11765,11064]","0","717","2022-11-04T15:04:59.001Z","0","692","939","2022-10-31","717","0","0","0","0","0","0","US","105","7722497","0","thehomedecore.us","0"
"2352.37","[]","0","717","2022-11-04T15:04:57.622Z","11990","693","886","2022-10-31","704","0","0","0","0","0","0","US","19","7294392","0","events.please.co","0"
"744.62","[]","0","716","2022-11-04T15:04:58.655Z","0","694","1119","2022-10-31","364","0","0","0","0","0","0","IN","13","7059315","0","eddyshoppe.store","0"
"36.71","[]","0","716","2022-11-04T15:04:54.983Z","0","695","1087","2022-10-31","433","0","0","0","0","0","0","ES","21","7016089","0","catharsisbrand.com","0"
"31.11","[11828,11765,11064]","0","714","2022-11-04T15:04:55.048Z","0","696","950","2022-10-31","714","0","0","0","0","0","0","US","105","7722185","0","atriumhomeandgarden.com","0"
"10.6","[]","0","713","2022-11-04T15:04:55.537Z","0","697","1877","2022-10-31","637","0","0","0","0","0","0","GB","296","6922751","0","blackpointperfumes.com","0"
"16.49","[11064]","0","712","2022-11-04T15:04:57.908Z","1800","698","1242","2022-10-31","712","0","0","0","0","0","0","GB","249","7812162","0","axaly.co.uk","0"
"3248.6","[]","0","711","2022-11-04T15:04:58.948Z","0","699","1637","2022-10-31","201","0","0","0","0","0","0","UY","136","6805999","0","melleruruguay.com","0"
"194.1","[]","0","711","2022-11-04T15:04:55.377Z","0","700","779","2022-10-31","711","0","0","0","0","0","0","DE","10","7618632","0","nordic.bagin.io","0"
"1833.96","[]","0","709","2022-11-04T15:04:57.622Z","0","701","2284","2022-10-31","317","0","0","0","0","0","0","IN","168","6776642","0","ikaanya.com","0"
"35.88","[]","0","709","2022-11-04T15:04:56.759Z","0","702","1351","2022-10-31","709","0","0","0","0","0","0","DE","68","7366926","0","a-listnutritioneu.com","0"
"210.46","[14564]","0","707","2022-11-04T15:04:57.100Z","55","703","1248","2022-10-31","403","0","0","0","0","0","0","PH","250","7004758","0","techtrance.com.ph","0"
"39.33","[]","0","706","2022-11-04T15:04:55.186Z","0","704","3463","2022-10-31","706","0","0","0","0","0","0","US","305","7653330","0","cococouture.style","0"
"164.79","[]","0","705","2022-11-04T15:04:57.623Z","0","705","888","2022-10-31","705","0","0","0","0","0","0","BR","212","7355934","0","www.onpointfutshopp.com.br","0"
"871.33","[12399]","0","704","2022-11-04T15:04:54.863Z","0","706","1029","2022-10-31","447","0","0","0","0","0","0","IN","18","7022127","0","dhruvee.in","0"
"14.64","[]","0","704","2022-11-04T15:04:57.622Z","0","707","737","2022-10-31","704","0","0","0","0","0","0","US","6","6971698","0","thedrippad.com","0"
"221.43","[]","0","702","2022-11-04T15:04:55.376Z","0","708","3683","2022-10-31","702","0","0","0","0","0","0","DE","281","7109267","0","wenorwegians.com","0"
"48.84","[]","0","702","2022-11-04T15:04:57.619Z","0","709","1356","2022-10-31","95","0","0","0","0","0","983","US","13","6956585","0","www.darklabs.pro","0"
"37.45","[]","0","701","2022-11-04T15:04:57.621Z","0","710","987","2022-10-31","701","0","0","0","0","0","0","CA","263","7595131","0","nutritionhouse.com","0"
"33.74","[]","0","701","2022-11-04T15:04:55.376Z","0","711","768","2022-10-31","681","0","0","0","0","0","0","US","24","7212036","0","legadoclothing.com","0"
"2040.43","[]","0","700","2022-11-04T15:04:56.708Z","0","712","1380","2022-10-31","450","0","0","0","0","0","0","IN","105","6778431","0","www.auromin.in","1"
"30.96","[]","0","699","2022-11-04T15:04:55.186Z","0","713","1357","2022-10-31","699","0","0","0","0","0","0","IT","387","7270881","0","cucuminiandmama.com","0"
"31.11","[11828,11765,11064]","0","699","2022-11-04T15:04:55.339Z","0","714","931","2022-10-31","699","0","0","0","0","0","0","US","105","7721023","0","dock95.com","0"
"43.89","[]","0","696","2022-11-04T15:04:58.439Z","0","715","2798","2022-10-31","696","0","0","0","0","0","0","CA","250","7853870","0","purpledogboutique.com","0"
"600.4","[]","0","696","2022-11-04T15:04:57.622Z","0","716","938","2022-10-31","631","0","0","0","0","0","0","NZ","51","7261772","0","toughout.co.nz","0"
"597.72","[]","0","695","2022-11-04T15:04:58.994Z","270","717","1658","2022-10-31","695","0","0","0","0","0","0","IN","609","7064999","0","eourmart.com","0"
"43.82","[]","0","694","2022-11-04T15:04:56.504Z","0","718","2005","2022-10-31","-246","0","0","0","0","0","695","SA","260","6969415","0","for-your4.com","0"
"496.3","[]","0","693","2022-11-04T15:04:57.334Z","0","719","32750","2022-10-31","635","0","0","0","0","0","0","SE","507","7237480","0","seasondress.se","0"
"22.09","[]","0","693","2022-11-04T15:04:56.505Z","0","720","754","2022-10-31","693","0","0","0","0","0","0","EC","23","7591912","0","dtodocity.com","0"
"17.54","[]","0","690","2022-11-04T15:04:58.126Z","0","721","7097","2022-10-31","599","0","0","0","0","0","0","CA","219","7094105","0","www.nirvanashoppingcentre.com","0"
"77.29","[]","0","688","2022-11-04T15:04:57.622Z","0","722","14365","2022-10-31","505","0","0","0","0","0","0","US","295","6812622","0","www.cocktaiil.com","0"
"37.43","[]","0","682","2022-11-04T15:04:56.504Z","0","723","8673","2022-10-31","-1959","0","0","0","0","0","199","US","771","7035781","0","savagekfashionboutique.com","0"
"33.89","[]","0","682","2022-11-04T15:04:56.708Z","0","724","789","2022-10-31","682","0","0","0","0","0","0","US","29","7603564","0","www.carseatheadrestmerch.com","0"
"34.93","[]","0","681","2022-11-04T15:04:55.721Z","0","725","1969","2022-10-31","552","0","0","0","0","0","0","DE","258","7163898","0","maveza.de","0"
"49689.79","[]","0","681","2022-11-04T15:04:56.492Z","0","726","1786","2022-10-31","524","0","0","0","0","0","0","CO","333","7004392","0","www.fullmoda.co","0"
"3874.53","[]","0","679","2022-11-04T15:04:58.438Z","0","727","1436","2022-10-31","268","0","0","0","0","0","0","JP","106","6878375","0","shop.chinuya.com","0"
"50.76","[]","0","679","2022-11-04T15:04:55.339Z","112661","728","1111","2022-10-31","679","0","0","0","0","0","0","US","253","7723393","0","southernfabric.com","0"
"352.22","[]","0","679","2022-11-04T15:04:58.127Z","0","729","774","2022-10-31","679","0","0","0","0","0","0","AU","41","7342034","0","bubbieco.com.au","0"
"874.88","[]","0","676","2022-11-04T15:04:57.621Z","0","730","681","2022-10-31","676","0","0","0","0","0","0","IN","8","7629095","0","www.herobuy.in","0"
"18.96","[12736]","0","675","2022-11-04T15:04:58.720Z","0","731","1205","2022-10-31","272","0","0","0","0","0","0","GB","14","6916348","0","calmoverchaos.co.uk","0"
"228.59","[]","0","670","2022-11-04T15:04:58.438Z","0","732","935","2022-10-31","670","0","0","0","0","0","0","AU","242","7445946","0","www.wowshopping.com.au","0"
"189235.58","[]","0","669","2022-11-04T15:04:55.731Z","151403","733","1572","2022-10-31","669","0","0","0","0","0","0","CO","104","7628986","0","vinaga.net","0"
"63.16","[]","0","667","2022-11-04T15:04:56.504Z","0","734","1911","2022-10-31","-345","0","0","0","0","0","640","DE","28","7014824","0","died.rich","0"
"79.17","[]","0","666","2022-11-04T15:04:56.711Z","27949","735","2460","2022-10-31","631","0","0","0","0","0","0","DE","554","7110321","0","moshimoshimind.com","21"
"22.51","[]","0","666","2022-11-04T15:04:57.111Z","0","736","2056","2022-10-31","624","0","0","0","0","0","0","GB","75","6790433","0","gostardeal.com","0"
"27.26","[]","0","666","2022-11-04T15:04:55.920Z","0","737","1736","2022-10-31","484","0","0","0","0","0","0","IT","199","6992287","0","unisexacerra.com","0"
"440.87","[]","0","666","2022-11-04T15:04:57.860Z","0","738","1046","2022-10-31","666","0","0","0","0","0","0","EG","178","7577590","0","koreanbeautys.com","0"
"2182.47","[]","0","666","2022-11-04T15:04:58.993Z","0","739","940","2022-10-31","657","0","0","0","0","0","0","JP","66","6911940","0","ichigonekotori.jp","0"
"2575.55","[]","0","666","2022-11-04T15:04:58.811Z","0","740","892","2022-10-31","666","0","0","0","0","0","0","JP","162","7462549","0","molto.fun","0"
"43.12","[]","0","665","2022-11-04T15:04:56.708Z","0","741","1210","2022-10-31","665","0","0","0","0","0","0","US","239","7470244","0","emporiumdesignsco.com","0"
"22.25","[]","0","663","2022-11-04T15:04:58.994Z","0","742","1070","2022-10-31","663","0","0","0","0","0","0","US","196","7114062","0","atomstoychest.com","0"
"2640.5","[]","0","660","2022-11-04T15:04:58.483Z","0","743","886","2022-10-31","614","0","0","0","0","0","0","JP","4","6892866","0","dotene.jp","0"
"24.03","[]","0","659","2022-11-04T15:04:55.376Z","0","744","1385","2022-10-31","456","0","0","0","0","0","0","US","98","7138544","0","taboomcandy.com","0"
"1297.27","[11064,11505,11516]","0","658","2022-11-04T15:04:54.982Z","0","745","1379","2022-10-31","520","0","0","0","0","0","0","IN","211","6915965","0","zamourstore.com","0"
"1318.93","[]","0","658","2022-11-04T15:04:55.375Z","10343","746","1265","2022-10-31","130","0","0","0","0","0","0","PK","28","6788517","1","powerfoods.com.pk","12"
"73.24","[]","0","655","2022-11-04T15:04:57.334Z","0","747","697","2022-10-31","655","0","0","0","0","0","0","RO","41","7382203","0","shop-deals.ro","0"
"25.87","[]","0","653","2022-11-04T15:04:57.860Z","0","748","1286","2022-10-31","653","0","0","0","0","0","0","US","306","7657740","0","hallyusuperstore.com","0"
"32.33","[]","0","653","2022-11-04T15:04:59.000Z","0","749","866","2022-10-31","653","0","0","0","0","0","0","US","85","7523452","0","hemp-soultions.com","0"
"35.9","[]","0","651","2022-11-04T15:04:58.438Z","0","750","1381","2022-10-31","111","0","0","0","0","0","0","US","112","6832242","0","www.themwboutique.net","0"
"195.16","[]","0","650","2022-11-04T15:04:59.020Z","638","751","2610","2022-10-31","-1128","0","0","0","0","0","348","NL","63","6918575","1","eziclean.nl","1"
"297.54","[]","0","648","2022-11-04T15:04:56.503Z","0","752","2070","2022-10-31","596","0","0","0","0","0","0","US","1330","6779097","0","ajapancollectables.com","0"
"136.46","[]","0","648","2022-11-04T15:04:57.621Z","2871","753","1085","2022-10-31","248","0","0","0","0","0","0","PH","4","6883355","0","babynow.ph","3"
"28.83","[]","0","646","2022-11-04T15:04:58.718Z","0","754","951","2022-10-31","646","0","0","0","0","0","0","US","8","7539648","0","lumfion.com","0"
"17275.71","[]","0","645","2022-11-04T15:04:55.721Z","0","755","799","2022-10-31","645","0","0","0","0","0","0","CL","35","7245339","0","dreamstorechile.com","0"
"38.4","[]","0","643","2022-11-04T15:04:56.505Z","0","756","1078","2022-10-31","481","0","0","0","0","0","0","US","38","7142768","0","www.truthwithindesigns.com","0"
"32.16","[11828,11765,11064]","0","643","2022-11-04T15:04:56.711Z","0","757","870","2022-10-31","643","0","0","0","0","0","0","US","107","7725865","0","www.scentnbeyond.com","0"
"236.78","[]","0","642","2022-11-04T15:04:56.758Z","0","758","1865","2022-10-31","503","0","0","0","0","0","0","GT","676","7122405","0","topmovil.com.gt","0"
"802.57","[]","0","640","2022-11-04T15:04:57.620Z","0","759","912","2022-10-31","458","0","0","0","0","0","0","IN","7","7058098","0","vertaxz.store","0"
"142.35","[]","0","639","2022-11-04T15:04:55.537Z","6256","760","5923","2022-10-31","532","0","0","0","0","0","0","BR","259","6998846","0","mezclado.com.br","0"
"10000","[]","0","639","2022-11-04T15:04:57.888Z","0","761","2812","2022-10-31","624","0","0","0","0","0","0","IT","289","6973231","0","int.ferplast.com","0"
"300.2","[]","0","637","2022-11-04T15:04:57.334Z","16","762","4152","2022-10-31","-633","0","0","0","0","0","499","CA","1008","7156434","0","disonec.ca","0"
"302.56","[]","0","635","2022-11-04T15:04:57.621Z","0","763","2345","2022-10-31","635","0","0","0","0","0","0","SE","40","7884477","0","microcement.se","0"
"26.43","[]","0","635","2022-11-04T15:04:57.623Z","0","764","741","2022-10-31","635","0","0","0","0","0","0","US","65","7356903","0","eilisra.com","0"
"150.33","[]","0","633","2022-11-04T15:04:57.092Z","0","765","852","2022-10-31","633","0","0","0","0","0","0","DK","170","7617055","0","dealshoppen.dk","0"
"37536.25","[]","0","630","2022-11-04T15:04:55.922Z","0","766","878","2022-10-31","630","0","0","0","0","0","0","CO","80","7648183","0","jpdistribuidora.co","0"
"129.86","[]","0","630","2022-11-04T15:04:57.620Z","0","767","806","2022-10-31","630","0","0","0","0","0","0","AU","129","7451531","0","belovedbundle.com.au","0"
"26.43","[]","0","624","2022-11-04T15:04:58.125Z","0","768","3274","2022-10-31","544","0","0","0","0","0","0","US","147","6821630","0","allqualitymerchandise.com","0"
"31.36","[]","0","624","2022-11-04T15:04:55.732Z","0","769","2213","2022-10-31","34","0","0","0","0","0","0","US","210","6830069","0","waning-moon-boutique.com","0"
"967.18","[12399]","0","624","2022-11-04T15:04:56.504Z","0","770","881","2022-10-31","416","0","0","0","0","0","0","IN","22","6990832","0","smilefly.in","0"
"10.99","[]","0","623","2022-11-04T15:04:58.197Z","0","771","1243","2022-10-31","623","0","0","0","0","0","0","IT","263","7558988","0","www.belletica.it","0"
"30.95","[]","0","621","2022-11-04T15:04:55.923Z","0","772","1469","2022-10-31","283","0","0","0","0","0","0","US","55","6832973","0","shopwallflowers.com","0"
"4.06","[]","0","620","2022-11-04T15:04:57.619Z","0","773","825","2022-10-31","490","0","0","0","0","0","0","FR","79","6915115","0","donutscoffee.fr","0"
"44.34","[]","0","619","2022-11-04T15:04:54.864Z","0","774","1295","2022-10-31","519","0","0","0","0","0","0","US","309","7289688","0","leahlaurenboutique.com","0"
"330.8","[]","0","619","2022-11-04T15:04:57.090Z","0","775","965","2022-10-31","404","0","0","0","0","0","0","SE","263","6798653","0","www.pamelabeauty.se","0"
"39","[]","0","618","2022-11-04T15:04:57.860Z","0","776","918","2022-10-31","618","0","0","0","0","0","0","US","98","7560439","0","brulerforall.com","0"
"4202.42","[6539,12426]","0","618","2022-11-04T15:04:56.708Z","0","777","641","2022-10-31","618","0","0","0","0","0","0","IN","12","7707005","0","genxbagsonline.com","0"
"748.78","[]","0","614","2022-11-04T15:04:55.537Z","0","778","1043","2022-10-31","321","0","0","0","0","0","0","IN","72","6858017","0","cosmecy.in","0"
"8852.04","[]","0","613","2022-11-04T15:04:57.092Z","0","779","7934","2022-10-31","-426","0","0","0","0","0","621","DE","241","6861313","0","www.royals.beauty","0"
"118.76","[]","0","613","2022-11-04T15:04:55.375Z","304857","780","1264","2022-10-31","613","0","0","0","0","0","0","BR","321","7685047","8","closetrc.com.br","35"
"188.57","[]","0","613","2022-11-04T15:04:55.537Z","0","781","1153","2022-10-31","380","0","0","0","0","0","0","US","97","6848906","0","shopgreentechaffiliate.com","0"
"19.41","[]","0","611","2022-11-04T15:04:58.719Z","3485","782","752","2022-10-31","596","0","0","0","0","0","0","SK","32","7059645","4","onyx-brand.sk","13"
"15.31","[]","0","609","2022-11-04T15:04:58.438Z","0","783","1092","2022-10-31","168","0","0","0","0","0","0","US","22","6902597","0","aperfectfit247.com","0"
"213.55","[]","0","606","2022-11-04T15:04:56.738Z","0","784","1338","2022-10-31","354","0","0","0","0","0","0","US","302","7030115","0","rayvision.store","0"
"26.22","[]","0","606","2022-11-04T15:04:58.197Z","117122","785","916","2022-10-31","422","0","0","0","0","0","0","DE","41","7120919","0","thundathighs.uk","11"
"206.87","[]","0","605","2022-11-04T15:04:55.186Z","0","786","1073","2022-10-31","463","0","0","0","0","0","0","US","141","7179513","0","standardbrands.shop","0"
"24.73","[]","0","602","2022-11-04T15:04:57.860Z","0","787","2505","2022-10-31","-427","0","0","0","0","0","625","US","76","6769604","0","bockyscloset.com","0"
"33.32","[]","0","602","2022-11-04T15:04:58.198Z","0","788","1229","2022-10-31","63","0","0","0","0","0","0","ES","3","6794021","0","vurgon.com","0"
"1494.76","[]","0","601","2022-11-04T15:04:54.983Z","0","789","771","2022-10-31","566","0","0","0","0","0","0","IN","63","7264459","0","rangleaf.in","0"
"9.74","[]","0","598","2022-11-04T15:04:58.720Z","0","790","903","2022-10-31","317","0","0","0","0","0","0","LT","6","6844408","0","aimxbeauty.com","0"
"21.65","[]","0","596","2022-11-04T15:04:55.923Z","1189","791","1655","2022-10-31","190","0","0","0","0","0","0","US","233","6807676","0","lorensaf.com","0"
"68.75","[]","0","595","2022-11-04T15:04:56.504Z","0","792","1302","2022-10-31","461","0","0","0","0","0","0","US","442","7256206","0","theworldsmostfamous.com","0"
"27.94","[11273,11064]","0","594","2022-11-04T15:04:57.620Z","0","793","934","2022-10-31","594","0","0","0","0","0","0","NL","124","7058354","0","dutchrose.com","0"
"33.32","[]","0","592","2022-11-04T15:04:57.908Z","0","794","611","2022-10-31","592","0","0","0","0","0","0","GB","3","7640428","0","shoptheracap.com","0"
"29.96","[]","0","589","2022-11-04T15:04:58.197Z","0","795","1102","2022-10-31","589","0","0","0","0","0","0","US","235","7535808","0","gulfcoastcouture.com","0"
"31.77","[11828,11765,11064]","0","588","2022-11-04T15:04:59.000Z","0","796","842","2022-10-31","588","0","0","0","0","0","0","US","105","7478591","0","decorstore4u.com","0"
"986.18","[]","0","587","2022-11-04T15:04:57.622Z","0","797","1134","2022-10-31","123","0","0","0","0","0","0","IN","39","6775991","0","thehomfy.com","0"
